datetime,count,compound,compound_change,price,return,price-1,return-1,price-2,return-2
2019-01-01 00:00:00+00:00,131,0.27095038167938945,-0.013230523523361237,6.000497657916667,-0.005436408260869571,6.04345985375,0.00621848541666666,6.020293189583332,-0.011387720416666655
2019-01-02 00:00:00+00:00,141,0.2577198581560282,-0.013230523523361237,6.04345985375,0.00621848541666666,6.020293189583332,-0.011387720416666655,5.9978060512499995,0.005300336666666665
2019-01-03 00:00:00+00:00,144,0.19831736111111115,-0.05940249704491707,6.020293189583332,-0.011387720416666655,5.9978060512499995,0.005300336666666665,6.114735259583333,0.0006634587499999937
2019-01-04 00:00:00+00:00,161,0.21288198757763968,0.014564626466528535,5.9978060512499995,0.005300336666666665,6.114735259583333,0.0006634587499999937,6.171758009166667,0.013024898333333312
2019-01-05 00:00:00+00:00,217,0.2523410138248848,0.039459026247245094,6.114735259583333,0.0006634587499999937,6.171758009166667,0.013024898333333312,6.3072003879166685,-0.003869529999999973
2019-01-06 00:00:00+00:00,235,0.2535446808510636,0.0012036670261788007,6.171758009166667,0.013024898333333312,6.3072003879166685,-0.003869529999999973,6.564997795,0.016582605416666635
2019-01-07 00:00:00+00:00,253,0.26691027667984196,0.013365595828778387,6.3072003879166685,-0.003869529999999973,6.564997795,0.016582605416666635,6.719732317083334,-0.0038199687499999766
2019-01-08 00:00:00+00:00,353,0.22550424929178461,-0.04140602738805735,6.564997795,0.016582605416666635,6.719732317083334,-0.0038199687499999766,6.177885809583334,-0.028194081250000003
2019-01-09 00:00:00+00:00,275,0.26009527272727234,0.03459102343548773,6.719732317083334,-0.0038199687499999766,6.177885809583334,-0.028194081250000003,6.054973486666667,0.005052241666666661
2019-01-10 00:00:00+00:00,223,0.19004977578475332,-0.07004549694251902,6.177885809583334,-0.028194081250000003,6.054973486666667,0.005052241666666661,5.994395614583333,-0.0025319662499999986
2019-01-11 00:00:00+00:00,271,0.27262878228782284,0.08257900650306951,6.054973486666667,0.005052241666666661,5.994395614583333,-0.0025319662499999986,5.860579170833334,-0.01721833499999999
2019-01-12 00:00:00+00:00,190,0.2885494736842105,0.015920691396387687,5.994395614583333,-0.0025319662499999986,5.860579170833334,-0.01721833499999999,5.8541733325,0.021763824999999997
2019-01-13 00:00:00+00:00,336,0.22537857142857143,-0.0631709022556391,5.860579170833334,-0.01721833499999999,5.8541733325,0.021763824999999997,5.995428580833333,-0.007114121666666658
2019-01-14 00:00:00+00:00,307,0.29032736156351785,0.06494879013494642,5.8541733325,0.021763824999999997,5.995428580833333,-0.007114121666666658,6.056519553749999,0.011188301249999996
2019-01-15 00:00:00+00:00,400,0.22148249999999992,-0.06884486156351793,5.995428580833333,-0.007114121666666658,6.056519553749999,0.011188301249999996,6.202322232083335,0.008582001666666672
2019-01-16 00:00:00+00:00,440,0.2288852272727272,0.007402727272727283,6.056519553749999,0.011188301249999996,6.202322232083335,0.008582001666666672,6.4927588366666695,0.00734986791666666
2019-01-17 00:00:00+00:00,411,0.1789722627737225,-0.0499129644990047,6.202322232083335,0.008582001666666672,6.4927588366666695,0.00734986791666666,6.520966180416665,0.0029260433333333133
2019-01-18 00:00:00+00:00,429,0.21182237762237763,0.03285011484865513,6.4927588366666695,0.00734986791666666,6.520966180416665,0.0029260433333333133,6.5847269470833325,-0.004911954583333304
2019-01-19 00:00:00+00:00,253,0.22260909090909098,0.01078671328671335,6.520966180416665,0.0029260433333333133,6.5847269470833325,-0.004911954583333304,6.5078712087499975,0.0018277108333333292
2019-01-20 00:00:00+00:00,404,0.24398044554455414,0.021371354635463163,6.5847269470833325,-0.004911954583333304,6.5078712087499975,0.0018277108333333292,6.504628120416666,-0.0016980925000000073
2019-01-21 00:00:00+00:00,401,0.3459528678304242,0.10197242228587008,6.5078712087499975,0.0018277108333333292,6.504628120416666,-0.0016980925000000073,6.526803376666664,0.0003788745833333366
2019-01-22 00:00:00+00:00,311,0.353569453376206,0.007616585545781762,6.504628120416666,-0.0016980925000000073,6.526803376666664,0.0003788745833333366,6.498066007083332,-0.0010892091666666603
2019-01-23 00:00:00+00:00,297,0.2926407407407408,-0.060928712635465176,6.526803376666664,0.0003788745833333366,6.498066007083332,-0.0010892091666666603,6.624386328749998,0.009366612500000001
2019-01-24 00:00:00+00:00,345,0.2867991304347827,-0.005841610305958089,6.498066007083332,-0.0010892091666666603,6.624386328749998,0.009366612500000001,6.842879964583332,0.011854097499999994
2019-01-25 00:00:00+00:00,390,0.24241461538461548,-0.044384515050167245,6.624386328749998,0.009366612500000001,6.842879964583332,0.011854097499999994,7.035611285000001,0.0038137729166666614
2019-01-26 00:00:00+00:00,422,0.33941327014218003,0.09699865475756456,6.842879964583332,0.011854097499999994,7.035611285000001,0.0038137729166666614,6.622371829583333,-0.035364314583333334
2019-01-27 00:00:00+00:00,571,0.20733940455341376,-0.13207386558876627,7.035611285000001,0.0038137729166666614,6.622371829583333,-0.035364314583333334,6.185815323333333,-0.0033828229166666577
2019-01-28 00:00:00+00:00,543,0.23878581952117883,0.03144641496776507,6.622371829583333,-0.035364314583333334,6.185815323333333,-0.0033828229166666577,6.145806668333332,-3.266291666666662e-05
2019-01-29 00:00:00+00:00,350,0.25810000000000033,0.019314180478821497,6.185815323333333,-0.0033828229166666577,6.145806668333332,-3.266291666666662e-05,6.170351497500001,0.005036903749999988
2019-01-30 00:00:00+00:00,325,0.22254953846153835,-0.035550461538461975,6.145806668333332,-3.266291666666662e-05,6.170351497500001,0.005036903749999988,6.472825088333333,0.011452504166666655
